#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-116	Chromosomal passenger complex	-	9606	CHEBI:29105(0)|O15392(1)|Q53HL2(1)|Q96GD4(1)|Q9NQS7(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1555177	GO:0015630(microtubule cytoskeleton)|GO:0000281(mitotic cytokinesis)|GO:0000278(mitotic cell cycle)|GO:0051256(mitotic spindle midzone assembly)|GO:0090267(positive regulation of mitotic cell cycle spindle assembly checkpoint)|GO:1901970(positive regulation of mitotic sister chromatid separation)|GO:1903490(positive regulation of mitotic cytokinesis)|GO:0008017(microtubule binding)|GO:0019237(centromeric DNA binding)|GO:0043515(kinetochore binding)|GO:0007052(mitotic spindle organization)|GO:1902425(positive regulation of attachment of mitotic spindle microtubules to kinetochore)|GO:0032133(chromosome passenger complex)|GO:0006468(protein phosphorylation)|GO:0004674(protein serine/threonine kinase activity)|GO:0001934(positive regulation of protein phosphorylation)	efo:EFO:0000311(see-also)|wwpdb:2qfa(subset)|pubmed:23175282(see-also)|intenz:2.7.11.1(identity)|reactome:R-HSA-377879(identity)|reactome:R-HSA-4655354(identity)|complex portal:CPX-116(complex-primary)|reactome:R-HSA-4655348(identity)	Serine/threonine kinase complex which ensures chromosome bi-orientation on the mitotic spindle during metaphase by phosphorylating multiple kinetochore components. It destabilizes monopolar attachments by phosphorylating key proteins at the kinetophore. The chromosomal passenger complex (CPC) regulates chromosome segregation and cytokinesis. Disruption of any of its four members from the complex results in structural impairment and subsequent mislocalization of the CPC.	Survivin and borealin associate with N-terminal region of INCENP to form a tight three-helical bundle. C-terminal region of INCENP (IN-BOX) binds and activates Aurora B.	Heterotetramer	-	Loss of function mutants implicated in many cancers.	-	-	-	psi-mi:"-"(ceitec)	O15392(1)|Q53HL2(1)|Q96GD4(1)|Q9NQS7(1)
CPX-117	Glycoprotein Ib-IX-V-Filamin-A complex	GPIb–filamin A complex|Glycocalicin-Filamin-A complex|Platelet glycoprotein Ib-alpha-Actin-binding protein 280 complex|Glycocalicin-Actin-binding protein 280 complex	9606	P07359(2)|P13224(2)|P14770(2)|P21333(2)|P40197(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0007597(blood coagulation, intrinsic pathway)|GO:0035855(megakaryocyte development)|GO:0051209(release of sequestered calcium ion into cytosol)|GO:0004888(transmembrane signaling receptor activity)|GO:0010572(positive regulation of platelet activation)|GO:1990779(glycoprotein Ib-IX-V complex)	wwpdb:2bp3(subset)|wwpdb:4mgx(subset)|pubmed:16293600(see-also)|complex portal:CPX-117(complex-primary)	The cytoplasmic domain of GPIBA of the GPIb-IX-V complex (CPX-114) binds to actin filaments through Filamin A. This may serve to anchor the complex and help it to withstand high shear stress and also enable communication with the actin cytoskeleton. The complex plays an important role in mediating the initial tethering and rolling of circulating platelets to a damaged blood vessel wall, for maintaining normal platelet integrity and shape and regulating platelet activation. 	-	Heterononamer	von Willebrand factor (P04275)	-	-	-	-	psi-mi:"-"(ceitec)	P07359(2)|P13224(2)|P14770(2)|P21333(2)|P40197(1)
CPX-120	Prostatic acid phosphatase complex	PAP complex	9606	P15309-PRO_0000023963(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1568818	GO:0052866(phosphatidylinositol phosphate phosphatase activity)|GO:0003993(acid phosphatase activity)|GO:0016791(phosphatase activity)|GO:0016311(dephosphorylation)|GO:1904097(acid phosphatase complex)|GO:1904144(phosphatidylinositol phosphate phosphatase complex)	efo:EFO:0003777(see-also)|efo:Orphanet:79214(see-also)|efo:EFO:0000764(see-also)|wwpdb:1nd5(identity)|intenz:3.1.3.2(identity)|pubmed:24009853(see-also)|wwpdb:1nd6(identity)|wwpdb:1cvi(identity)|complex portal:CPX-120(complex-primary)	Dephosphorylates orthophosphate monoesters and phosphorylated proteins, primaryly on tyrosine. Optimal activity in acidic environment (pH 4-6). Prediminantly expressed in and secreted from prostate but also found in many other tissues at lower concentration. TM-PAP splice variant is membrane bound. Modulates nociception at the dorsal root ganglia.	Forms homodimer at physiological concentration. Dimer interface is 2896 A^2. Can form tetramers at higher concentrations. Residues Arg11, His12 and Asp258 are essential for catalytic activity.	Homodimer	-	Biomarker of prostate cancer through dephosphorylation of ERBB2 and deactivation of MAPK-mediated signaling.|Forms amyloid fibrils in semen that capture HIV virions and enhance infectious titre of HIV.|Loss of PAP results in accumulation of extracellular AMP leading to heart defects.|Loss of PAP leads to deficiant neurotransmission through lack of interaction with SNARE-associated protein snapin.	-	-	-	psi-mi:"-"(ceitec)	P15309-PRO_0000023963(2)
CPX-122	Filamin A homodimer	Actin-binding protein 280 homodimer	9606	P21333(2)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-6377741	GO:0031532(actin cytoskeleton reorganization)|GO:0051015(actin filament binding)	efo:Orphanet:1864(see-also)|efo:Orphanet:2301(see-also)|efo:Orphanet:82004(see-also)|efo:Orphanet:323(see-also)|efo:Orphanet:1826(see-also)|efo:Orphanet:99811(see-also)|efo:Orphanet:2484(see-also)|efo:Orphanet:98892(see-also)|efo:Orphanet:88630(see-also)|efo:Orphanet:90650(see-also)|efo:Orphanet:90652(see-also)|wwpdb:2j3s(identity)|wwpdb:3hor(identity)|wwpdb:3rgh(identity)|wwpdb:3cnk(identity)|wwpdb:2wfn(identity)|wwpdb:3hoc(identity)|reactome:R-HSA-5669251(identity)|reactome:R-HSA-5669252(identity)|complex portal:CPX-122(complex-primary)	Homodimeric actin cross-linking proteins that organize the actin cytoskeleton and maintain extracellular matrix connections by anchoring actin filaments to transmembrane receptors. By cross-linking and anchoring actin filaments, filamins stabilize the plasma membrane, provide cellular cortical rigidity, and contribute to the mechanical stability of the plasma membrane and the cell cortex. FLNa-actin networks behave as weak elastic solids under low shear stress due to the flexible nature of actin-FLNa crosslinks, yet can support large shear stresses and have pronounced nonlinear strain-stiffening behaviors. High avidity binding to F-actin due to dimerization and multiple binding to F-actin through FLNa ABD and rod 1 confers strain-stiffening on actin networks. FLNa dimers also interact with transmembrane proteins, cytoskeletal proteins, and intracellular signaling proteins and are therefore involved in stabilization and regulation of plasma membrane and intracellular signaling. 	Consists of two 280 kDa subunits that self-associate via the ultimate C-terminal domain (domain 24) to form a 160nm long V-shape semi-flexible strand. 	Homodimer	-	breast and colon cancers|cardiac valvular dystrophy|oto-palato-digital (OPD) spectrum disorders|periventricular heterotopia	-	-	-	psi-mi:"-"(ceitec)	P21333(2)
CPX-125	Sodium:potassium-exchanging ATPase complex	sodium:potassium ATPase alpha-beta-gamma complex|sodium:potassium pump|Na+/K+ ATPase alpha-beta-gamma complex|Na(+)/K(+)-ATPase pump|Na+/K+-exchanging ATPase complex|Na+/K+-ATPase pump|Na+/K+ pump|Na(+)/K(+) pump|Na(+)/K(+)-exchanging ATPase complex|sodium:potassium ATPase pump|Na(+)/K(+) ATPase alpha-beta-gamma complex	9606	P05023(1)|P05026(1)|P54710(1)	ECO:0005544(biological system reconstruction evidence based on orthology evidence used in manual assertion)	-	GO:0006883(cellular sodium ion homeostasis)|GO:0005890(sodium:potassium-exchanging ATPase complex)|GO:0005391(sodium:potassium-exchanging ATPase activity)|GO:0005524(ATP binding)|GO:0030955(potassium ion binding)|GO:0031402(sodium ion binding)|GO:1990573(potassium ion import across plasma membrane)|GO:0036376(sodium ion export from cell)|GO:0010248(establishment or maintenance of transmembrane electrochemical gradient)|GO:1901691(proton binding)|GO:1902600(hydrogen ion transmembrane transport)|GO:0015078(hydrogen ion transmembrane transporter activity)|GO:0030007(cellular potassium ion homeostasis)	reactome:R-HSA-936770(identity)|pubmed:18075585(see-also)|pubmed:25772291(see-also)|pubmed:19542013(see-also)|intenz:3.6.3.9(identity)|complex portal:CPX-125(complex-primary)	An ATPase-dependent transmembrane transport complex capable of generating electrochemical gradients by exchanging three intracellular sodium ions for two extracellular potassium ions during each cycle of ATP hydrolysis. Na+/K+ pumps can also generate an inward current of protons. Each transport cycle comprises a sequence of conformational transitions that permit extracellular K+ ions to access the binding sites in phosphorylated pumps and cytoplasmic Na+ ions to access the sites after dephosphorylation . Binding of the third Na+ ion triggers autophosphorylation, and binding of the second K+ ion prompts auto-dephosphorylation. This coupling of alternating ion access to ATP hydrolysis ensures forward, energetically uphill, progress of the Na+/K+ transport cycle. The larger pumped Na+ efflux than K+ influx constitutes outward current, a direction tending to make the membrane potential more negative. However, because each step in the cycle is reversible , if the normally transported intracellular Na+ and extracellular K+ are both scarce, the cycle can run backward, thus synthesizing ATP and generating inward, depolarizing current. 	The alpha subunit contains the Na+, K+ and ATP binding sites. The beta subunit is required for routing of the alpha subunit to the plasma membrane and for occlusion of the K+ ions. The gamma subunit regulates the pumping activity in a tissue- and isoform-specific way. Occlusion of K+ is vital for the stability of the complex.	Heterotrimer	Mg2+ (CHEBI:18420)|Rb+ (CHEBI:49847)|K+ (CHEBI:29103)|Na+ (CHEBI:29101)|ATP (CHEBI:15422)	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P05023(1)|P05026(1)|P54710(1)
CPX-128	LDLR-PCSK9 complex	PCSK9-LDLR complex	9606	P01130(1)|Q8NBP7-PRO_0000027120(1)|Q8NBP7-PRO_0000027121(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-7539337	GO:1990666(PCSK9-LDLR complex)|GO:0010989(negative regulation of low-density lipoprotein particle clearance)|GO:0001920(negative regulation of receptor recycling)|GO:0030547(receptor inhibitor activity)	efo:Orphanet:391665(see-also)|wwpdb:2w2p(identity)|wwpdb:2w2q(identity)|pubmed:24440079(see-also)|pubmed:17452316(see-also)|pubmed:22081141(see-also)|wwpdb:2w2o(identity)|wwpdb:2w2m(identity)|wwpdb:3bps(identity)|wwpdb:3gcw(identity)|wwpdb:4ne9(identity)|wwpdb:2w2n(identity)|wwpdb:3p5c(identity)|pubmed:18250299(see-also)|wwpdb:3p5b(identity)|wwpdb:3m0c(identity)|wwpdb:3gcx(identity)|complex portal:CPX-128(complex-primary)	The formation of the LDLR-PCSK9 complex at neutral pH promotes degradation of the low density lipoprotein receptor (LDLR) component, the major clearance route of circulating cholesterol through the endosome/lysosome pathway. Consequently, a reduction in the internalisation of circulating low density lipoproteins (LDLs) occurs, leading to high plasma levels of LDLs, causing familial hypercholesterolemia type 3. Formation of the complex interferes with an acid-dependent conformational change of LDLR required for receptor recycling via the endosome. Instead, PCSK9 binding to LDLR can induce its ubiquitination leading to rerouteing of LDLR to the lysosome where it is degraded.	After auto-cleavage of PCSK9 at 152Gln, its pro-domain (Pro) remains tightly associated with its subtilisin-like catalytic domain (Cat) and both are bound to LDLR.	Heterotrimer	-	PCSK9 mutations associated with familial hypercholesterolemia (FH3) are probably gain-of-function mutations (e.g. Asp-374-Tyr in the PCSK9's subtilisin-like catalytic domain) leading to increased affinity of PCSK9 towards LDLR and increased plasma LDL levels. In contrast, PCSK9 loss-of-function mutations result in increased LDLR levels and hypocholesterolaemia.	-	-	-	psi-mi:"MI:1332"(bhf-ucl)	P01130(1)|Q8NBP7-PRO_0000027120(1)|Q8NBP7-PRO_0000027121(1)
CPX-130	ANXA2-PCSK9 complex	-	9606	P07355(0)|Q8NBP7(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-9258167	GO:0002091(negative regulation of receptor internalization)|GO:1990667(PCSK9-AnxA2 complex)	efo:Orphanet:391665(see-also)|pubmed:18799458(see-also)|pubmed:24808179(see-also)|pubmed:22848640(see-also)|complex portal:CPX-130(complex-primary)	The formation of the AnxA2-PCSK9 complex reduces the degradation of the LDLR (low density lipoprotein receptor, P01130), leading to increased clearance of LDLs (low density lipoproteins). The reduced levels of circulating LDLs in plasma could lead to protection from coronary heart disease and premature atherosclorosis. This activity opposes that of a closely related complex the LDLR-PCSK9 complex CPX-128.	AnxA2 binds to the C-terminal Cys/His-rich domain (CHRD) of PCSK9 and in particular with the tandem repeat modules M1 and M2.	Heterodimer	-	PCSK9 mutations associated with familial hypercholesterolemia (FH3) are probably gain-of-function mutations which possibly act through the upregulation of LDLR degradation through increased formation of the PCSK9-LDLR complex. Thus sequestering PCSK9 through binding to AnxA2 and forming the PCSK9-AnxA2 complex is expected to lower the levels of circulating LDL.	-	-	-	psi-mi:"MI:1332"(bhf-ucl)	P07355(0)|Q8NBP7(0)
CPX-131	HCN4 channel complex	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 tetramer|K/Na hyperpolarization-activated cyclic nucleotide-gated channel 4 tetramer	9606	CHEBI:17489(4)|Q9Y3Q4(4)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8767067	GO:0003254(regulation of membrane depolarization)|GO:1990573(potassium ion import across plasma membrane)|GO:0098719(sodium ion import across plasma membrane)|GO:0005242(inward rectifier potassium channel activity)|GO:0005248(voltage-gated sodium channel activity)|GO:0086091(regulation of heart rate by cardiac conduction)|GO:0098907(regulation of SA node cell action potential)|GO:0005222(intracellular cAMP activated cation channel activity)|GO:0071320(cellular response to cAMP)|GO:0098855(HCN channel complex)|GO:2001257(regulation of cation channel activity)	efo:Orphanet:130(see-also)|efo:Orphanet:166282(see-also)|wwpdb:3otf(identity)|pubmed:20829353(see-also)|wwpdb:3u11(identity)|pubmed:22006928(see-also)|wwpdb:4hbn(identity)|wwpdb:4kl1(identity)|wwpdb:4nvp(identity)|pubmed:19555650(see-also)|pubmed:25580535(see-also)|pubmed:19181406(see-also)|pubmed:17178405(see-also)|complex portal:CPX-131(complex-primary)	Hyperpolarization-activated cyclic nucleotide-gated (HCN) ion channel that is dually activated by hyperpolarization and binding of cAMP to their cyclic nucleotide binding domain (CNBD) thereby releasing the tonic inhibition exerted by the cytoplasmic CNBD on the channel pore. Exhibits weak selectivity for potassium over sodium ions and contributes to the native pacemaker currents in heart (If) and possibly in neurons (Ih). Together with HCN2 (Q9UL51, CPX-143), HCN4 is the dominant form of HCN expressed in the heart, especially in the sinoatrial node. Contrary to other ion-gated channels, HCN channels do not require an accessory unit but depolarisation activity is affected by optional accessory proteins such as TRIP8b (PEX5L, Q8IYB4). Mutations in the C-terminus containing the C-linker and CNBD domain, which affect the expression or function of the HCN4 channel, are known to cause arrhythmia or bradycardia or lipids such as phosphatidylinositol-4,5-biphosphate.	Each HCN4 subunit contains a transmembrane domain (TMD), similar to other voltage-gated K+ channels, and a C-terminal cyclic nucleotide binding domain (CNBD). Tetramerisation and cAMP binding is both facilitated through the C-terminal linker (between the last TMD and the CNBD) and the CNBD itself.	Homotetramer	Potassium ion (K+, CHEBI:29103)|Sodium ion (Na+, CHEBI:29101)	Familial sick sinus syndrome [Orphanet:166282]: Sick sinus syndrome is a rare cardiac rhythm disease, usually of the elderly, characterized by electrocardiographic findings of sinus bradycardia, atrial fibrillation, atrial tachycardia sinus arrest, or sino-atrial block, and that manifest with symptoms like syncope, dizziness, palpitations, fatigue, or even heart failure. It results from malfunction of the cardiac conduction system, probably secondary to degenerative fibrosis of nodal tissue in the elderly or secondary to cardiac disorders in younger patients.|Brugada syndrome [Orphanet:130]: manifests with ST segment elevation in right precordial leads (V1 to V3), incomplete or complete right bundle branch block, and susceptibility to ventricular tachyarrhythmia and sudden death. An electrical disorder without overt myocardial abnormalities.	-	-	-	psi-mi:"MI:0469"(IntAct)	Q9Y3Q4(4)
CPX-132	BAT3 complex	-	9606	P11441(1)|P46379(1)|Q7L5D6(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0071818(BAT3 complex)|GO:0031647(regulation of protein stability)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0140597(protein carrier activity)|GO:0043022(ribosome binding)|GO:0006620(posttranslational protein targeting to endoplasmic reticulum membrane)|GO:0005829(cytosol)	pubmed:25535373(see-also)|pubmed:20676083(see-also)|pubmed:21636303(see-also)|wwpdb:4x86(subset)|wwpdb:4wwr(subset)|complex portal:CPX-132(complex-primary)|reactome:R-HSA-9609902(identity)|wwpdb:6au8(subset)	BAT3 complex is recruited to ribosomes synthesizing tail-anchored (TA) proteins or polypeptides bearing hydrophobic transmembrane domains (TMDs). BAT3 complex sequesters TA proteins into a soluble form which prevents aggregation or inappropriate interactions, thus facilitating their targeting through the cytosol to GET3. It acts during retrotranslocation as part of the transmembrane recognition complex (TRC) pathway, the mislocalized protein degradation pathway, and the ER-associated protein degradation (ERAD) pathway.	GET4 (TRC35) and UBL4A have distinct C-terminal binding sites on BAG6 (BAT3). 	Heterotrimer	-	-	-	-	-	psi-mi:"MI:1332"(bhf-ucl)	P11441(1)|P46379(1)|Q7L5D6(1)
CPX-134	RISC-loading complex, TARBP2 variant	-	9606	Q15633(1)|Q9UKV8(1)|Q9UPY3(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-11170142	GO:0070922(RISC complex assembly)|GO:0035196(production of miRNAs involved in gene silencing by miRNA)|GO:0070578(RISC-loading complex)|GO:0004521(endoribonuclease activity)|GO:0035198(miRNA binding)|GO:0030422(production of siRNA involved in RNA interference)|GO:0031054(pre-miRNA processing)|GO:0003725(double-stranded RNA binding)	pubmed:16271387(see-also)|pubmed:18178619(see-also)|pubmed:19820710(see-also)|pubmed:23661684(see-also)|reactome:R-HSA-6789244(identity)|wwpdb:4WYQ(subset)|emdb:EMD-1646(subset)|intenz:3.1.26.n2(identity)|complex portal:CPX-134(complex-primary)|signor:SIGNOR-C32(identity)	Endoribonclease complex that has dicing, slicing, guide-strand selection, and AGO2-loading activities. Within the trimeric complex, DICER1 and TARBP2 are required to process precursor miRNAs (pre-miRNAs) to mature miRNAs and then load them onto AGO2. AGO2-miRNA dissociates from the rest of the complex, forming the RNA-induced silencing complex (RISC). Also process pre-siRNAs.	MW ~ 360 kDa	Heterotrimer	-	-	-	-	-	psi-mi:"MI:1332"(bhf-ucl)	Q15633(1)|Q9UKV8(1)|Q9UPY3(1)
CPX-137	VCP-NPL4-UFD1 AAA ATPase complex	-	9606	P55072(6)|Q8TAT6(1)|Q92890(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-7931325	GO:0030433(ER-associated ubiquitin-dependent protein catabolic process)|GO:0032553(ribonucleotide binding)|GO:0034098(VCP-NPL4-UFD1 AAA ATPase complex)|GO:0030970(retrograde protein transport, ER to cytosol)|GO:0031593(polyubiquitin binding)	pubmed:17202270(see-also)|pubmed:10811609(see-also)|pubmed:22232657(see-also)|pubmed:12847084(see-also)|reactome:R-HSA-5654992(identity)|pubmed:11740563(see-also)|pubmed:23226521(see-also)|intenz:3.6.4.8(identity)|wwpdb:5b6c(subset)|complex portal:CPX-137(complex-primary)	A type II AAA ATPase that is involved in the dislocation/extraction step of retrotranslocation of misfolded proteins from the endoplasmic reticulum (ER) into the cytosol where they are polyubiquitinated and degraded by the proteasome as part of the ER-associated protein degradation (ERAD) pathway. Extracts ubiquitylated proteins from within the ER membrane possibly via protein channels. Targets a variety of ubiquinated proteins for degradation via the VCP subunit.	NPLOC4 and UFD1L form an adaptor sub-complex called "UN" which subsequently binds VCP/p97. In the 6:1:1 stoichiometry, the UN sub-complex adaptor can adopt either a single-binding-site or a two-binding-site conformation relative to the VCP hexamer ring, displaying either two or one p97 N-terminal domain interactions respectively. The Vcp-Nploc4-Ufd1l complex adopts multiple conformations upon nucleotide binding. It is unclear whether 1 or 3 UN subcomplexes bind to the Vcp hexamer. MW ~623 kDa	Heterooctomer	-	-	-	-	-	psi-mi:"MI:1332"(bhf-ucl)	P55072(6)|Q8TAT6(1)|Q92890(1)
CPX-143	HCN2 channel complex	K/Na hyperpolarization-activated cyclic nucleotide-gated channel 2 tetramer|Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 2 tetramer	9606	CHEBI:17489(4)|Q9UL51(4)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-8767073	GO:0005242(inward rectifier potassium channel activity)|GO:0071320(cellular response to cAMP)|GO:0005222(intracellular cAMP activated cation channel activity)|GO:2001257(regulation of cation channel activity)|GO:0098855(HCN channel complex)|GO:0003254(regulation of membrane depolarization)|GO:0086091(regulation of heart rate by cardiac conduction)|GO:0005248(voltage-gated sodium channel activity)|GO:0098719(sodium ion import across plasma membrane)|GO:0098907(regulation of SA node cell action potential)|GO:1990573(potassium ion import across plasma membrane)	pubmed:22006928(see-also)|wwpdb:3u10(identity)|pubmed:12968185(see-also)|pubmed:19181406(see-also)|pubmed:25580535(see-also)|pubmed:19555650(see-also)|pubmed:17178405(see-also)|complex portal:CPX-143(complex-primary)	Hyperpolarization-activated cyclic nucleotide-gated (HCN) ion channel that is dually activated by hyperpolarization and binding of cAMP to their cyclic nucleotide binding domain (CNBD) thereby releasing the tonic inhibition exerted by the cytoplasmic CNBD on the channel pore. Exhibits weak selectivity for potassium over sodium ions and contributes to the native pacemaker currents in heart (If) and in neurons (Ih). Together with HCN4 (Q9Y3Q4, CPX-131), HCN2 is the dominant form of HCN expressed in the heart. Produces a large instantaneous current. Modulated by intracellular chloride ions and pH; acidic pH shifts the activation to more negative voltages. Contrary to other ion-gated channels, HCN channels do not require an accessory unit but depolarisation activity is affected by optional accessory proteins such as TRIP8b (PEX5L, Q8IYB4) or lipids such as phosphatidylinositol-4,5-biphosphate.	Each HCN2 subunit contains a transmembrane domain (TMD), similar to other voltage-gated K+ channels, and a C-terminal cyclic nucleotide binding domain (CNBD). Tetramerisation and cAMP binding is both facilitated through the C-terminal linker (between the last TMD and the CNBD) and the CNBD itself.	Homotetramer	Potassium ion (K+, CHEBI:29103)|Sodium ion (Na+, CHEBI:29101)	Sick sinus syndrome 2 (SSS2). The term 'sick sinus syndrome' encompasses a variety of conditions caused by sinus node dysfunction. The most common clinical manifestations are syncope, presyncope, dizziness, and fatigue. Electrocardiogram typically shows sinus bradycardia, sinus arrest, and/or sinoatrial block. Episodes of atrial tachycardias coexisting with sinus bradycardia ('tachycardia-bradycardia syndrome') are also common in this disorder. SSS occurs most often in the elderly associated with underlying heart disease or previous cardiac surgery, but can also occur in the fetus, infant, or child without heart disease or other contributing factors. SSS2 onset is in utero or at birth.|Brugada syndrome: A tachyarrhythmia characterized by right bundle branch block and ST segment elevation on an electrocardiogram (ECG). It can cause the ventricles to beat so fast that the blood is prevented from circulating efficiently in the body. When this situation occurs, the individual will faint and may die in a few minutes if the heart is not reset.	-	-	-	psi-mi:"MI:0469"(IntAct)	Q9UL51(4)
CPX-144	SMAD1 homotrimer	-	9606	Q15797(3)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10108652	GO:0071142(homomeric SMAD protein complex)	pubmed:16322555(see-also)|wwpdb:1KHU(identity)|complex portal:CPX-144(complex-primary)	In the absence of Smad4, R-Smad phosphorylation results in homotrimerization, however, this complex does not appear to import into the nucleus and is assumed to be transcriptionally inactive.	The R-Smad homotrimer is stabilized by the interaction between phosphoserine residues of the C-terminal tail and positively charged residues in an adjacent subunit, as well as through extensive hydrogen bonds and van der Waals contacts at the conserved trimer interface.	Homotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	Q15797(3)
CPX-148	GLI2-SUFU complex	SUFU-GLI1 complex	9606	P10070(1)|Q9UMX1(1)	ECO:0005546(biological system reconstruction evidence based on paralogy evidence used in manual assertion)	-	GO:1990788(GLI-SUFU complex)|GO:1990787(negative regulation of hh target transcription factor activity)	complex portal:CPX-56(inferred-from)|reactome:R-HSA-5610589(identity)|reactome:R-HSA-5610598(identity)|reactome:R-HSA-5610608(identity)|complex portal:CPX-148(complex-primary)|reactome:R-HSA-5610536(identity)|reactome:R-HSA-5610584(identity)	Transcriptional modulator complex, the formation of which regulates the activity of GLI transcription factors. Role as a negative regulator of the hedgehog-signalling network and plays a fundamental role in the control of development, cell proliferation and differentiation.	GLI binding causes major conformational changes in SUFU, stabilizing SUFU in a "closed" state. The "open" conformation of SUFU is promoted by Hedgehog signalling, when it dissociates from GLI.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P10070(1)|Q9UMX1(1)
CPX-150	GLI3-SUFU complex	SUFU-GLI1 complex	9606	P10071(1)|Q9UMX1(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-10169921	GO:1990788(GLI-SUFU complex)|GO:1990787(negative regulation of hh target transcription factor activity)	wwpdb:4bld(identity)|reactome:R-HSA-5610526(identity)|reactome:R-HSA-5610581(identity)|reactome:R-HSA-5610587(identity)|reactome:R-HSA-5610595(identity)|complex portal:CPX-150(complex-primary)|reactome:R-HSA-5610542(identity)	Transcriptional modulator complex, the formation of which regulates the activity of GLI transcription factors. Role as a negative regulator of the hedgehog-signalling network and plays a fundamental role in the control of development, cell proliferation and differentiation.	GLI binding causes major conformational changes in SUFU, stabilizing SUFU in a "closed" state. The "open" conformation of SUFU is promoted by Hedgehog signalling, when it dissociates from GLI.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P10071(1)|Q9UMX1(1)
CPX-152	Shelterin complex	-	9606	P54274(2)|Q15554(2)|Q96AP0(1)|Q9BSI4(1)|Q9NUX5(1)|Q9NYB0(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-765004	GO:0016233(telomere capping)|GO:0070187(shelterin complex)|GO:0090655(double-stranded/single-stranded junction telomeric DNA binding)|GO:0032206(positive regulation of telomere maintenance)	pubmed:15383534(see-also)|reactome:R-HSA-174898(identity)|wwpdb:3BQO(subset)|wwpdb:3K6G(subset)|wwpdb:3BU8(subset)|pubmed:21852327(see-also)|pubmed:23299958(see-also)|pubmed:22965356(see-also)|pubmed:21346783(see-also)|pubmed:20125188(see-also)|wwpdb:1h6p(subset)|wwpdb:1H6O(subset)|protein ontology:PR:000028433(identity)|complex portal:CPX-152(complex-primary)|signor:SIGNOR-C306(identity)	The Shelterin (Telosome) complex is a DNA-binding protein complex that associates with the telomeres that cap the ends of eukaryotic chromosomes and distinguishes them from sites of DNA damage thus sheltering chromosome ends from being inappropriately processed by the DNA repair machinery. Consequently it plays an essential role in maintaining telomere structure and integrity. Three subunits can interact directly either with single-stranded (POT1) or double-stranded telomeric DNA (TERF1 and TERF2).	MW ~ 1 MDa	Hetero-octamer	-	-	-	-	-	psi-mi:"MI:1332"(bhf-ucl)	P54274(2)|Q15554(2)|Q96AP0(1)|Q9BSI4(1)|Q9NUX5(1)|Q9NYB0(1)
CPX-155	RB1-E2F1-DP1 transcriptional repressor complex	E2F1-DP1-Rb complex|DP1:E2F1:RB1|RB1-E2F1-TFDP1 transcription repressor complex	9606	P06400(1)|Q01094(1)|Q14186(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-6858227	GO:0005634(nucleus)|GO:0043433(negative regulation of sequence-specific DNA binding transcription factor activity)|GO:0035189(Rb-E2F complex)	wwpdb:2aze(identity)|complex portal:CPX-155(complex-primary)	Formation of this complex, by binding to RB1 to the E2F1-DP1 transcription factor complex (CPX-175), negatively regulates the G1-S transition by blocking the transactivation domain of E2F1. RB1 dissociates from the complex following hyperphosphorylation by cyclin-dependent kinases.	-	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P06400(1)|Q01094(1)|Q14186(1)
