A1BG	ENSG00000121410
ABLIM3	ENSG00000173210
ABR	ENSG00000159842
ABRA	ENSG00000174429
ABRACL	ENSG00000146386
ABRAXAS1	ENSG00000163322
ABRAXAS2	ENSG00000165660
ABT1	ENSG00000146109
ABTB1	ENSG00000114626
ABTB2	ENSG00000166016
ABTB3	ENSG00000151136
ACAA1	ENSG00000060971
ACAA2	ENSG00000167315
ACACA	ENSG00000278540
ACACB	ENSG00000076555
ACAD10	ENSG00000111271
ACAD11	ENSG00000240303
ACAD8	ENSG00000151498
ACAD9	ENSG00000177646
ACADL	ENSG00000115361
ACADM	ENSG00000117054
ACADS	ENSG00000122971
ACADSB	ENSG00000196177
ACADVL	ENSG00000072778
ACAN	ENSG00000157766
ACAP1	ENSG00000072818
ACAP2	ENSG00000114331
ACAP3	ENSG00000131584
ACAT1	ENSG00000075239
ACAT2	ENSG00000120437
ACBD3	ENSG00000182827
ACBD4	ENSG00000181513
ACBD5	ENSG00000107897
ACBD6	ENSG00000230124
ACBD7	ENSG00000176244
ACCS	ENSG00000110455
ACCSL	ENSG00000205126
ACD	ENSG00000102977
ACE	ENSG00000159640
ACE2	ENSG00000130234
ACER1	ENSG00000167769
ACER2	ENSG00000177076
ACER3	ENSG00000078124
ACHE	ENSG00000087085
ACIN1	ENSG00000100813
ACKR1	ENSG00000213088
ACKR2	ENSG00000144648
ACKR3	ENSG00000144476
ACKR4	ENSG00000129048
ACLY	ENSG00000131473
ACMSD	ENSG00000153086
ACO1	ENSG00000122729
ACO2	ENSG00000100412
ACOD1	ENSG00000102794
ACOT1	ENSG00000184227
ACOT11	ENSG00000162390
ACOT12	ENSG00000172497
ACOT13	ENSG00000112304
ACOT2	ENSG00000119673
ACOT4	ENSG00000177465
ACOT6	ENSG00000205669
ACOT7	ENSG00000097021
ACOT8	ENSG00000101473
ACOT9	ENSG00000123130
ACOX1	ENSG00000161533
ACOX2	ENSG00000168306
ACOX3	ENSG00000087008
ACOXL	ENSG00000153093
ACP1	ENSG00000143727
ACP2	ENSG00000134575
ACP3	ENSG00000014257
ACP4	ENSG00000142513
ACP5	ENSG00000102575
ACP6	ENSG00000162836
ACP7	ENSG00000183760
ACR	ENSG00000100312
ACRBP	ENSG00000111644
ACRV1	ENSG00000134940
ACSBG1	ENSG00000103740
ACSBG2	ENSG00000130377
ACSF2	ENSG00000167107
ACSF3	ENSG00000176715
ACSL1	ENSG00000151726
ACSL3	ENSG00000123983
ACSL4	ENSG00000068366
ACSL5	ENSG00000197142
ACSL6	ENSG00000164398
ACSM1	ENSG00000166743
ACSM2A	ENSG00000183747
ACSM2B	ENSG00000066813
ACSM3	ENSG00000005187
ACSM4	ENSG00000215009
ACSM5	ENSG00000183549
ACSM6	ENSG00000173124
ACSS1	ENSG00000154930
ACSS2	ENSG00000131069
ACSS3	ENSG00000111058
ACTA1	ENSG00000143632
ACTA2	ENSG00000107796
ACTB	ENSG00000075624
ACTBL2	ENSG00000169067
ACTC1	ENSG00000159251
ACTG1	ENSG00000184009
ACTG2	ENSG00000163017
ACTL10	ENSG00000288649
ACTL6A	ENSG00000136518
ACTL6B	ENSG00000077080
ACTL7A	ENSG00000187003
ACTL7B	ENSG00000148156
ACTL8	ENSG00000117148
ACTL9	ENSG00000181786
ACTN1	ENSG00000072110
ACTN2	ENSG00000077522
ACTN4	ENSG00000130402
ACTR10	ENSG00000131966
ACTR1A	ENSG00000138107
ACTR1B	ENSG00000115073
ACTR2	ENSG00000138071
ACTR3	ENSG00000115091
ACTR3B	ENSG00000133627
ACTR3C	ENSG00000106526
ACTR5	ENSG00000101442
ACTR6	ENSG00000075089
ACTR8	ENSG00000113812
ACTRT1	ENSG00000123165
ACTRT2	ENSG00000169717
ACTRT3	ENSG00000184378
ACVR1	ENSG00000115170
ACVR1B	ENSG00000135503
ACVR1C	ENSG00000123612
ACVR2A	ENSG00000121989
ACVR2B	ENSG00000114739
ACVRL1	ENSG00000139567
ACY1	ENSG00000243989
ACY3	ENSG00000132744
ACYP1	ENSG00000119640
ACYP2	ENSG00000170634
ADA	ENSG00000196839
ADA2	ENSG00000093072
ADAD1	ENSG00000164113
ADAD2	ENSG00000140955
ADAL	ENSG00000168803
ADAM10	ENSG00000137845
ADAM11	ENSG00000073670
ADAM12	ENSG00000148848
ADAM15	ENSG00000143537
ADAM17	ENSG00000151694
ADAM18	ENSG00000168619
ADAM19	ENSG00000135074
ADAM2	ENSG00000104755
ADAM20	ENSG00000134007
ADAM21	ENSG00000139985
ADAM22	ENSG00000008277
ADAM23	ENSG00000114948
ADAM28	ENSG00000042980
ADAM29	ENSG00000168594
ADAM30	ENSG00000134249
ADAM32	ENSG00000197140
ADAM33	ENSG00000149451
ADAM7	ENSG00000069206
ADAM8	ENSG00000151651
ADAM9	ENSG00000168615
ADAMDEC1	ENSG00000134028
ADAMTS1	ENSG00000154734
ADAMTS10	ENSG00000142303
ADAMTS12	ENSG00000151388
ADAMTS13	ENSG00000160323
ADAMTS14	ENSG00000138316
ADAMTS15	ENSG00000166106
ADAMTS16	ENSG00000145536
ADAMTS17	ENSG00000140470
ADAMTS18	ENSG00000140873
ADAMTS19	ENSG00000145808
ADAMTS2	ENSG00000087116
ADAMTS20	ENSG00000173157
ADAMTS3	ENSG00000156140
ADAMTS4	ENSG00000158859
ADAMTS5	ENSG00000154736
ADAMTS6	ENSG00000049192
ADAMTS7	ENSG00000136378
ADAMTS8	ENSG00000134917
ADAMTS9	ENSG00000163638
ADAMTSL1	ENSG00000178031
ADAMTSL2	ENSG00000197859
ADAMTSL3	ENSG00000156218
ADAMTSL4	ENSG00000143382
ADAMTSL5	ENSG00000185761
ADAP1	ENSG00000105963
ADAP2	ENSG00000184060
ADAR	ENSG00000160710
ADARB1	ENSG00000197381
ADARB2	ENSG00000185736
ADAT1	ENSG00000065457
ADAT2	ENSG00000189007
ADAT3	ENSG00000213638
ADCK1	ENSG00000063761
ADCK2	ENSG00000133597
ADCK5	ENSG00000173137
ADCY1	ENSG00000164742
ADCY10	ENSG00000143199
ADCY2	ENSG00000078295
ADCY3	ENSG00000138031
ADCY4	ENSG00000129467
ADCY5	ENSG00000173175
ADCY6	ENSG00000174233
ADCY7	ENSG00000121281
ADCY8	ENSG00000155897
ADCY9	ENSG00000162104
ADCYAP1	ENSG00000141433
ADCYAP1R1	ENSG00000078549
ADD1	ENSG00000087274
ADD2	ENSG00000075340
ADD3	ENSG00000148700
ADGRA1	ENSG00000197177
ADGRA2	ENSG00000020181
ADGRA3	ENSG00000152990
ADGRB1	ENSG00000181790
ADGRB2	ENSG00000121753
ADGRB3	ENSG00000135298
ADGRD1	ENSG00000111452
ADGRE1	ENSG00000174837
ADGRE2	ENSG00000127507
ADGRE3	ENSG00000131355
ADGRE5	ENSG00000123146
ADGRF1	ENSG00000153292
ADGRF3	ENSG00000173567
ADGRF4	ENSG00000153294
ADGRF5	ENSG00000069122
ADGRG1	ENSG00000205336
ADGRG2	ENSG00000173698
ADGRG3	ENSG00000182885
ADGRG4	ENSG00000156920
ADGRG5	ENSG00000159618
ADGRG6	ENSG00000112414
ADGRG7	ENSG00000144820
ADGRL1	ENSG00000072071
ADGRL2	ENSG00000117114
ADGRL3	ENSG00000150471
ADGRL4	ENSG00000162618
ADGRV1	ENSG00000164199
ADH1A	ENSG00000187758
ADH1B	ENSG00000196616
ADH4	ENSG00000198099
ADH5	ENSG00000197894
ADH6	ENSG00000172955
ADH7	ENSG00000196344
ADHFE1	ENSG00000147576
ADI1	ENSG00000182551
ADIG	ENSG00000182035
ADIPOQ	ENSG00000181092
ADIPOR1	ENSG00000159346
ADIPOR2	ENSG00000006831
ADIRF	ENSG00000148671
ADK	ENSG00000156110
ADM	ENSG00000148926
ADM2	ENSG00000128165
ADM5	ENSG00000224420
ADNP	ENSG00000101126
ADNP2	ENSG00000101544
ADO	ENSG00000181915
ADORA1	ENSG00000163485
ADORA2A	ENSG00000128271
ADORA2B	ENSG00000170425
ADORA3	ENSG00000282608
ADPGK	ENSG00000159322
ADPRH	ENSG00000144843
ADPRHL1	ENSG00000153531
ADPRM	ENSG00000170222
ADPRS	ENSG00000116863
ADRA1A	ENSG00000120907
ADRA1B	ENSG00000170214
ADRA1D	ENSG00000171873
ADRA2A	ENSG00000150594
ADRA2B	ENSG00000274286
ADRA2C	ENSG00000184160
ADRB1	ENSG00000043591
ADRB2	ENSG00000169252
ADRB3	ENSG00000188778
ADRM1	ENSG00000130706
ADSL	ENSG00000239900
ADSS1	ENSG00000185100
ADSS2	ENSG00000035687
ADTRP	ENSG00000111863
AEBP1	ENSG00000106624
AEBP2	ENSG00000139154
AEN	ENSG00000181026
AFAP1	ENSG00000196526
AFAP1L1	ENSG00000157510
AFAP1L2	ENSG00000169129
AFDN	ENSG00000130396
AFF1	ENSG00000172493
AFF2	ENSG00000155966
AFF3	ENSG00000144218
AFF4	ENSG00000072364
AFG1L	ENSG00000135537
AFG3L2	ENSG00000141385
AFM	ENSG00000079557
AFMID	ENSG00000183077
AFP	ENSG00000081051
AFTPH	ENSG00000119844
AGA	ENSG00000038002
AGAP1	ENSG00000157985
AGAP2	ENSG00000135439
AGAP3	ENSG00000133612
AGAP5	ENSG00000172650
AGAP6	ENSG00000204149
AGAP9	ENSG00000204172
AGBL1	ENSG00000273540
AGBL2	ENSG00000165923
AGBL3	ENSG00000146856
AGBL4	ENSG00000186094
AGBL5	ENSG00000084693
AGER	ENSG00000204305
AGFG1	ENSG00000173744
AGFG2	ENSG00000106351
AGGF1	ENSG00000164252
AGK	ENSG00000006530
AGL	ENSG00000162688
AGMAT	ENSG00000116771
AGMO	ENSG00000187546
AGO1	ENSG00000092847
AGO2	ENSG00000123908
AGO3	ENSG00000126070
AGO4	ENSG00000134698
AGPAT1	ENSG00000204310
AGPAT2	ENSG00000169692
AGPAT3	ENSG00000160216
AGPAT4	ENSG00000026652
AGPAT5	ENSG00000155189
AGPS	ENSG00000018510
AGR2	ENSG00000106541
AGR3	ENSG00000173467
AGRN	ENSG00000188157
AGRP	ENSG00000159723
AGT	ENSG00000135744
AGTPBP1	ENSG00000135049
AGTR1	ENSG00000144891
AGTR2	ENSG00000180772
AGTRAP	ENSG00000177674
AGXT	ENSG00000172482
AGXT2	ENSG00000113492
AHCTF1	ENSG00000153207
AHCY	ENSG00000101444
AHCYL1	ENSG00000168710
AHCYL2	ENSG00000158467
AHDC1	ENSG00000126705
AHI1	ENSG00000135541
AHNAK	ENSG00000124942
AHNAK2	ENSG00000185567
AHR	ENSG00000106546
AHRR	ENSG00000063438
AHSA1	ENSG00000100591
AHSG	ENSG00000145192
AHSP	ENSG00000169877
AICDA	ENSG00000111732
AIDA	ENSG00000186063
AIF1	ENSG00000204472
AIF1L	ENSG00000126878
AIFM1	ENSG00000156709
AIFM2	ENSG00000042286
AIFM3	ENSG00000183773
AIG1	ENSG00000146416
AIM2	ENSG00000163568
AIMP1	ENSG00000164022
AIMP2	ENSG00000106305
AIP	ENSG00000110711
AIPL1	ENSG00000129221
AIRE	ENSG00000160224
AJAP1	ENSG00000196581
AJM1	ENSG00000232434
AJUBA	ENSG00000129474
AK1	ENSG00000106992
AK2	ENSG00000004455
AK3	ENSG00000147853
AK4	ENSG00000162433
AK5	ENSG00000154027
AK6	ENSG00000085231
AK7	ENSG00000140057
AK8	ENSG00000165695
AK9	ENSG00000155085
AKAIN1	ENSG00000231824
AKAP1	ENSG00000121057
AKAP10	ENSG00000108599
AKAP11	ENSG00000023516
AKAP12	ENSG00000131016
AKAP13	ENSG00000170776
AKAP14	ENSG00000186471
AKAP3	ENSG00000111254
AKAP4	ENSG00000147081
AKAP5	ENSG00000179841
AKAP6	ENSG00000151320
AKAP7	ENSG00000118507
AKAP8	ENSG00000105127
AKAP8L	ENSG00000011243
AKAP9	ENSG00000127914
AKIP1	ENSG00000166452
AKIRIN1	ENSG00000174574
AKIRIN2	ENSG00000135334
AKNA	ENSG00000106948
AKNAD1	ENSG00000162641
AKR1A1	ENSG00000117448
AKR1B1	ENSG00000085662
AKR1B10	ENSG00000198074
AKR1B15	ENSG00000227471
AKR1C2	ENSG00000151632
AKR1C3	ENSG00000196139
AKR1C4	ENSG00000198610
AKR1D1	ENSG00000122787
AKR1E2	ENSG00000165568
AKR7A2	ENSG00000053371
AKR7A3	ENSG00000162482
AKT1	ENSG00000142208
AKT1S1	ENSG00000204673
AKT2	ENSG00000105221
AKT3	ENSG00000117020
AKTIP	ENSG00000166971
ALAD	ENSG00000148218
ALAS1	ENSG00000023330
ALAS2	ENSG00000158578
ALB	ENSG00000163631
ALCAM	ENSG00000170017
ALDH16A1	ENSG00000161618
ALDH18A1	ENSG00000059573
ALDH1A1	ENSG00000165092
ALDH1A2	ENSG00000128918
ALDH1A3	ENSG00000184254
ALDH1B1	ENSG00000137124
ALDH1L1	ENSG00000144908
ALDH1L2	ENSG00000136010
ALDH2	ENSG00000111275
ALDH3A1	ENSG00000108602
ALDH3A2	ENSG00000072210
ALDH3B2	ENSG00000132746
ALDH4A1	ENSG00000159423
ALDH5A1	ENSG00000112294
ALDH6A1	ENSG00000119711
ALDH7A1	ENSG00000164904
ALDH8A1	ENSG00000118514
ALDH9A1	ENSG00000143149
ALDOA	ENSG00000149925
ALDOB	ENSG00000136872
ALDOC	ENSG00000109107
ALG1	ENSG00000033011
ALG10	ENSG00000139133
ALG10B	ENSG00000175548
ALG11	ENSG00000253710
ALG12	ENSG00000182858
ALG13	ENSG00000101901
ALG14	ENSG00000172339
ALG2	ENSG00000119523
ALG3	ENSG00000214160
ALG5	ENSG00000120697
ALG6	ENSG00000088035
ALG8	ENSG00000159063
ALG9	ENSG00000086848
ALK	ENSG00000171094
ALKAL1	ENSG00000196711
ALKAL2	ENSG00000189292
ALKBH1	ENSG00000100601
ALKBH2	ENSG00000189046
ALKBH3	ENSG00000166199
ALKBH4	ENSG00000160993
ALKBH5	ENSG00000091542
ALKBH6	ENSG00000239382
ALKBH7	ENSG00000125652
ALKBH8	ENSG00000137760
ALLC	ENSG00000151360
ALMS1	ENSG00000116127
ALOX12	ENSG00000108839
ALOX12B	ENSG00000179477
ALOX15	ENSG00000161905
ALOX15B	ENSG00000179593
ALOX5	ENSG00000012779
ALOX5AP	ENSG00000132965
ALOXE3	ENSG00000179148
ALPG	ENSG00000163286
ALPI	ENSG00000163295
ALPK1	ENSG00000073331
ALPK2	ENSG00000198796
ALPK3	ENSG00000136383
ALPL	ENSG00000162551
ALPP	ENSG00000163283
ALS2	ENSG00000003393
ALS2CL	ENSG00000178038
ALX1	ENSG00000180318
ALX3	ENSG00000156150
ALX4	ENSG00000052850
ALYREF	ENSG00000183684
AMACR	ENSG00000242110
AMBN	ENSG00000178522
AMBP	ENSG00000106927
AMBRA1	ENSG00000110497
AMD1	ENSG00000123505
AMDHD1	ENSG00000139344
AMDHD2	ENSG00000162066
AMELX	ENSG00000125363
AMELY	ENSG00000099721
AMER1	ENSG00000184675
AMER2	ENSG00000165566
AMER3	ENSG00000178171
AMFR	ENSG00000159461
AMH	ENSG00000104899
AMHR2	ENSG00000135409
AMIGO1	ENSG00000181754
AMIGO2	ENSG00000139211
AMIGO3	ENSG00000176020
AMMECR1	ENSG00000101935
AMMECR1L	ENSG00000144233
AMN	ENSG00000166126
AMN1	ENSG00000151743
AMOT	ENSG00000126016
AMOTL1	ENSG00000166025
AMOTL2	ENSG00000114019
AMPD1	ENSG00000116748
AMPD2	ENSG00000116337
AMPD3	ENSG00000133805
AMPH	ENSG00000078053
AMT	ENSG00000145020
AMTN	ENSG00000187689
AMY2A	ENSG00000243480
AMZ1	ENSG00000174945
AMZ2	ENSG00000196704
ANAPC1	ENSG00000153107
ANAPC10	ENSG00000164162
ANAPC11	ENSG00000141552
ANAPC13	ENSG00000129055
ANAPC15	ENSG00000110200
ANAPC16	ENSG00000166295
ANAPC2	ENSG00000176248
ANAPC4	ENSG00000053900
ANAPC5	ENSG00000089053
ANAPC7	ENSG00000196510
ANG	ENSG00000214274
ANGEL1	ENSG00000013523
ANGEL2	ENSG00000174606
ANGPT1	ENSG00000154188
ANGPT2	ENSG00000091879
ANGPT4	ENSG00000101280
ANGPTL1	ENSG00000116194
ANGPTL2	ENSG00000136859
ANGPTL3	ENSG00000132855
ANGPTL4	ENSG00000167772
ANGPTL5	ENSG00000187151
ANGPTL6	ENSG00000130812
ANGPTL7	ENSG00000171819
ANGPTL8	ENSG00000130173
ANHX	ENSG00000227059
ANK1	ENSG00000029534
ANK2	ENSG00000145362
ANK3	ENSG00000151150
ANKAR	ENSG00000151687
ANKDD1A	ENSG00000166839
ANKDD1B	ENSG00000189045
ANKEF1	ENSG00000132623
ANKFN1	ENSG00000153930
ANKFY1	ENSG00000185722
ANKH	ENSG00000154122
ANKHD1	ENSG00000131503
ANKIB1	ENSG00000001629
ANKK1	ENSG00000170209
ANKLE1	ENSG00000160117
ANKLE2	ENSG00000176915
ANKMY1	ENSG00000144504
ANKMY2	ENSG00000106524
ANKRA2	ENSG00000164331
ANKRD1	ENSG00000148677
ANKRD10	ENSG00000088448
ANKRD11	ENSG00000167522
ANKRD12	ENSG00000101745
ANKRD13A	ENSG00000076513
ANKRD13B	ENSG00000198720
ANKRD13C	ENSG00000118454
ANKRD13D	ENSG00000172932
ANKRD16	ENSG00000134461
ANKRD17	ENSG00000132466
ANKRD18A	ENSG00000180071
ANKRD2	ENSG00000165887
ANKRD22	ENSG00000152766
ANKRD23	ENSG00000163126
ANKRD24	ENSG00000089847
ANKRD26	ENSG00000107890
ANKRD27	ENSG00000105186
ANKRD28	ENSG00000206560
ANKRD29	ENSG00000154065
ANKRD30A	ENSG00000148513
ANKRD30B	ENSG00000180777
ANKRD31	ENSG00000145700
ANKRD33	ENSG00000167612
ANKRD33B	ENSG00000164236
ANKRD34A	ENSG00000272031
ANKRD34B	ENSG00000189127
ANKRD34C	ENSG00000235711
ANKRD35	ENSG00000198483
ANKRD36	ENSG00000135976
ANKRD37	ENSG00000186352
ANKRD39	ENSG00000213337
ANKRD40	ENSG00000154945
ANKRD42	ENSG00000137494
ANKRD44	ENSG00000065413
ANKRD45	ENSG00000183831
ANKRD46	ENSG00000186106
ANKRD49	ENSG00000168876
ANKRD50	ENSG00000151458
ANKRD52	ENSG00000139645
ANKRD53	ENSG00000144031
ANKRD54	ENSG00000100124
ANKRD55	ENSG00000164512
ANKRD6	ENSG00000135299
ANKRD61	ENSG00000157999
ANKRD62	ENSG00000181626
ANKRD65	ENSG00000235098
ANKRD66	ENSG00000230062
ANKRD7	ENSG00000106013
ANKRD9	ENSG00000156381
ANKS1A	ENSG00000064999
ANKS1B	ENSG00000185046
ANKS3	ENSG00000168096
ANKS4B	ENSG00000175311
ANKS6	ENSG00000165138
ANKZF1	ENSG00000163516
ANLN	ENSG00000011426
ANO1	ENSG00000131620
ANO10	ENSG00000160746
ANO2	ENSG00000047617
ANO3	ENSG00000134343
ANO4	ENSG00000151572
ANO5	ENSG00000171714
ANO6	ENSG00000177119
ANO7	ENSG00000146205
ANO8	ENSG00000074855
ANO9	ENSG00000185101
ANOS1	ENSG00000011201
ANP32A	ENSG00000140350
ANP32B	ENSG00000136938
ANP32D	ENSG00000139223
ANP32E	ENSG00000143401
ANPEP	ENSG00000166825
ANTKMT	ENSG00000103254
ANTXR1	ENSG00000169604
ANTXR2	ENSG00000163297
ANTXRL	ENSG00000274209
ANXA1	ENSG00000135046
ANXA10	ENSG00000109511
ANXA11	ENSG00000122359
ANXA13	ENSG00000104537
ANXA2	ENSG00000182718
ANXA2R	ENSG00000177721
ANXA3	ENSG00000138772
ANXA4	ENSG00000196975
ANXA5	ENSG00000164111
ANXA6	ENSG00000197043
ANXA7	ENSG00000138279
ANXA8	ENSG00000265190
ANXA8L1	ENSG00000264230
ANXA9	ENSG00000143412
AOAH	ENSG00000136250
AOC1	ENSG00000002726
AOC2	ENSG00000131480
AOC3	ENSG00000131471
AOPEP	ENSG00000148120
AOX1	ENSG00000138356
AP1AR	ENSG00000138660
AP1B1	ENSG00000100280
AP1G1	ENSG00000166747
AP1G2	ENSG00000213983
AP1M1	ENSG00000072958
AP1M2	ENSG00000129354
AP1S1	ENSG00000106367
AP1S2	ENSG00000182287
AP1S3	ENSG00000152056
AP2A1	ENSG00000196961
AP2A2	ENSG00000183020
AP2B1	ENSG00000006125
AP2M1	ENSG00000161203
AP2S1	ENSG00000042753
AP3B1	ENSG00000132842
AP3B2	ENSG00000103723
AP3D1	ENSG00000065000
AP3M1	ENSG00000185009
AP3M2	ENSG00000070718
AP3S1	ENSG00000177879
AP3S2	ENSG00000157823
AP4B1	ENSG00000134262
AP4E1	ENSG00000081014
AP4M1	ENSG00000221838
AP4S1	ENSG00000100478
AP5B1	ENSG00000254470
AP5M1	ENSG00000053770
AP5S1	ENSG00000125843
AP5Z1	ENSG00000242802
APAF1	ENSG00000120868
APBA1	ENSG00000107282
APBA2	ENSG00000034053
APBA3	ENSG00000011132
APBB1	ENSG00000166313
APBB1IP	ENSG00000077420
APBB2	ENSG00000163697
APBB3	ENSG00000113108
APC	ENSG00000134982
APC2	ENSG00000115266
APCDD1	ENSG00000154856
APCDD1L	ENSG00000198768
APCS	ENSG00000132703
APEH	ENSG00000164062
APEX1	ENSG00000100823
APEX2	ENSG00000169188
APH1A	ENSG00000117362
APH1B	ENSG00000138613
API5	ENSG00000166181
APIP	ENSG00000149089
APLF	ENSG00000169621
APLN	ENSG00000171388
APLNR	ENSG00000134817
APLP1	ENSG00000105290
APLP2	ENSG00000084234
APMAP	ENSG00000101474
APOA1	ENSG00000118137
APOA2	ENSG00000158874
APOA4	ENSG00000110244
APOA5	ENSG00000110243
APOB	ENSG00000084674
APOBEC1	ENSG00000111701
APOBEC2	ENSG00000124701
APOBEC3A	ENSG00000128383
APOBEC3B	ENSG00000179750
APOBEC3C	ENSG00000244509
APOBEC3D	ENSG00000243811
APOBEC3F	ENSG00000128394
APOBEC3G	ENSG00000239713
APOBEC3H	ENSG00000100298
APOBEC4	ENSG00000173627
APOBR	ENSG00000184730
APOC1	ENSG00000130208
APOC2	ENSG00000234906
APOC3	ENSG00000110245
APOC4	ENSG00000267467
APOD	ENSG00000189058
APOE	ENSG00000130203
APOF	ENSG00000175336
APOH	ENSG00000091583
APOL1	ENSG00000100342
APOL2	ENSG00000128335
APOL3	ENSG00000128284
APOL5	ENSG00000128313
APOL6	ENSG00000221963
APOLD1	ENSG00000178878
APOM	ENSG00000204444
APOO	ENSG00000184831
APOOL	ENSG00000155008
APP	ENSG00000142192
APPBP2	ENSG00000062725
APPL1	ENSG00000157500
APPL2	ENSG00000136044
APRT	ENSG00000198931
APTX	ENSG00000137074
AQP1	ENSG00000240583
AQP10	ENSG00000143595
AQP11	ENSG00000178301
AQP12B	ENSG00000185176
AQP2	ENSG00000167580
AQP3	ENSG00000165272
AQP4	ENSG00000171885
AQP5	ENSG00000161798
AQP6	ENSG00000086159
AQP7	ENSG00000165269
AQP8	ENSG00000103375
AQP9	ENSG00000103569
AQR	ENSG00000021776
AR	ENSG00000169083
ARAF	ENSG00000078061
ARAP1	ENSG00000186635
ARAP2	ENSG00000047365
ARAP3	ENSG00000120318
ARC	ENSG00000198576
ARCN1	ENSG00000095139
AREG	ENSG00000109321
AREL1	ENSG00000119682
ARF1	ENSG00000143761
ARF3	ENSG00000134287
ARF4	ENSG00000168374
ARF5	ENSG00000004059
ARF6	ENSG00000165527
ARFGAP1	ENSG00000101199
ARFGAP2	ENSG00000149182
ARFGAP3	ENSG00000242247
ARFGEF1	ENSG00000066777
ARFGEF2	ENSG00000124198
ARFGEF3	ENSG00000112379
ARFIP1	ENSG00000164144
ARFIP2	ENSG00000132254
ARFRP1	ENSG00000101246
ARG1	ENSG00000118520
ARG2	ENSG00000081181
ARGFX	ENSG00000186103
ARGLU1	ENSG00000134884
ARHGAP1	ENSG00000175220
ARHGAP10	ENSG00000071205
ARHGAP11A	ENSG00000198826
ARHGAP12	ENSG00000165322
ARHGAP15	ENSG00000075884
ARHGAP17	ENSG00000140750
ARHGAP18	ENSG00000146376
ARHGAP19	ENSG00000213390
ARHGAP20	ENSG00000137727
ARHGAP21	ENSG00000107863
ARHGAP22	ENSG00000128805
ARHGAP23	ENSG00000275832
ARHGAP24	ENSG00000138639
ARHGAP25	ENSG00000163219
ARHGAP26	ENSG00000145819
ARHGAP27	ENSG00000159314
ARHGAP28	ENSG00000088756
ARHGAP29	ENSG00000137962
ARHGAP30	ENSG00000186517
ARHGAP31	ENSG00000031081
ARHGAP32	ENSG00000134909
ARHGAP33	ENSG00000004777
ARHGAP35	ENSG00000160007
ARHGAP36	ENSG00000147256
ARHGAP39	ENSG00000147799
ARHGAP4	ENSG00000089820
